Week,Year,TV_Spend,Digital_Spend,Social_Media_Spend,Radio_Spend,Print_Spend,OOH_Spend,Price_Index,Promotion_Flag,Holiday_Season,Competitor_Spend,Sales
02-01-2023,2023,195455.8983,200797.9996,200000,78410.39708,11522.04151,65787.55828,1.001504189,1,0,222238.0319,53142.59026
09-01-2023,2023,318406.1475,132374.2113,129881.7039,29481.54248,42384.12697,76818.038,1.005153799,0,0,236238.214,52770.02022
16-01-2023,2023,291718.6932,115843.0217,91997.43932,64847.55567,21195.0859,58587.45879,1.029187955,0,0,331948.3962,53836.33921
23-01-2023,2023,300934.068,167396.0118,170937.1626,37500.15046,26710.44171,55396.58112,1.028611767,0,0,328421.9694,59862.43423
30-01-2023,2023,188818.9126,135914.0589,108241.6662,36685.57738,21040.4209,94522.09368,1.030622757,0,0,272878.75,54741.70617
06-02-2023,2023,192786.5435,221560.314,200000,25721.67709,24096.59926,62081.52764,1.041129301,0,0,277203.0781,56708.09611
13-02-2023,2023,196438.0101,223444.8024,197725.2728,78530.09762,39090.82277,54303.26015,1.052184561,0,0,178008.8301,60246.23327
20-02-2023,2023,402265.1064,207782.4949,191000.508,68684.24933,20564.69598,26933.47015,1.064054864,0,0,106723.4912,57687.67901
27-02-2023,2023,329237.4994,134062.853,127478.4122,64215.11974,33929.41371,68396.14381,1.070442166,0,0,181126.6075,59490.97693
06-03-2023,2023,359983.4329,93464.23546,65187.98963,59004.44818,34680.30258,59796.23663,1.059012117,0,0,167023.0051,54786.19012
13-03-2023,2023,226972.9758,211857.4253,189382.3867,84896.08418,41025.48302,29208.86569,1.075346432,0,0,205323.9909,58758.18328
20-03-2023,2023,424265.6773,134445.2722,130160.6187,46849.49471,51959.9003,21274.14422,1.063882978,0,0,204237.397,56176.10759
27-03-2023,2023,384692.7464,201041.8719,193131.8813,65856.49347,51405.68367,61622.36575,1.066909333,0,0,236485.8585,65195.7297
03-04-2023,2023,262300.5055,180450.6971,186599.0782,59214.89353,17717.97724,65718.36663,1.059366574,1,1,185522.5108,63366.55033
10-04-2023,2023,236103.8487,166158.4874,164517.2391,40519.60129,14438.04936,51415.0337,1.058725191,0,0,252328.0517,63110.00994
17-04-2023,2023,232501.8682,88218.20595,88325.57151,43183.20188,26643.07391,100054.493,1.062012815,1,0,355560.1079,55106.90327
