Respondent_ID,Age,Gender,Income_Level,City_Tier,Brand_Name,Price_Fairness,Quality,Availability,Innovation,Customer_Service,Trust,Overall_Preference
R001,42,Female,High,Tier-1,ShopEase,7,5,7,7,7,6,7
R001,42,Female,High,Tier-1,ValueMart,6,5,7,2,5,5,3
R001,42,Female,High,Tier-1,TrendNest,7,7,7,7,6,6,5
R001,42,Female,High,Tier-1,PrimeCart,5,7,4,6,7,7,5
R001,42,Female,High,Tier-1,UrbanChoice,4,3,5,4,3,3,4
R001,42,Female,High,Tier-1,FreshHub,4,3,2,2,4,5,2
R002,37,Female,Low,Tier-2,ShopEase,7,7,7,7,5,6,7
R002,37,Female,Low,Tier-2,ValueMart,7,1,6,5,1,3,7
R002,37,Female,Low,Tier-2,TrendNest,2,4,5,5,5,4,4
R002,37,Female,Low,Tier-2,PrimeCart,2,4,5,3,4,3,5
R002,37,Female,Low,Tier-2,UrbanChoice,5,4,5,5,5,6,4
R002,37,Female,Low,Tier-2,FreshHub,5,5,5,2,7,5,6
R003,43,Male,High,Tier-2,ShopEase,3,4,4,3,5,5,5
R003,43,Male,High,Tier-2,ValueMart,6,3,7,3,4,3,4
R003,43,Male,High,Tier-2,TrendNest,5,7,4,6,6,6,5
R003,43,Male,High,Tier-2,PrimeCart,4,7,5,7,6,7,7
R003,43,Male,High,Tier-2,UrbanChoice,5,4,6,5,3,4,5
R003,43,Male,High,Tier-2,FreshHub,5,6,3,5,5,6,6
R004,50,Other,Low,Tier-2,ShopEase,7,4,6,3,4,5,3
R004,50,Other,Low,Tier-2,ValueMart,6,3,6,6,7,6,6
R004,50,Other,Low,Tier-2,TrendNest,7,6,6,5,5,5,7
R004,50,Other,Low,Tier-2,PrimeCart,7,6,4,6,7,7,7
R004,50,Other,Low,Tier-2,UrbanChoice,4,7,3,4,6,7,5
R004,50,Other,Low,Tier-2,FreshHub,6,5,4,4,3,5,5
R005,36,Female,Medium,Tier-3,ShopEase,6,1,6,2,4,6,3
R005,36,Female,Medium,Tier-3,ValueMart,7,3,7,4,2,1,6
R005,36,Female,Medium,Tier-3,TrendNest,6,7,5,5,4,5,6
R005,36,Female,Medium,Tier-3,PrimeCart,5,6,5,4,6,7,6
R005,36,Female,Medium,Tier-3,UrbanChoice,5,5,4,4,6,4,6
R005,36,Female,Medium,Tier-3,FreshHub,3,6,4,5,4,5,7
R006,36,Male,Medium,Tier-2,ShopEase,7,5,7,5,3,4,5
