Transaction_ID,Customer_ID,Customer_Segment,Product_Category,Product_Name,Quantity,Unit_Price,Purchase_Date,,,
T001,C394,regular,Electronics,Laptop,1,24406,18-11-2023,,,
T001,C394,regular,Electronics,Mouse,1,19484,01-06-2023,,,
T001,C394,regular,FMCG,Toothbrush,10,89,14-01-2023,,,
T002,C431,regular,FMCG,Shampoo,5,98,09-08-2023,,,
T003,C250,regular,Home_Goods,Dinner Set,1,6180,05-08-2023,,,
T003,C250,regular,Home_Goods,Bath Towel,1,5695,21-03-2023,,,
T003,C250,regular,Home_Goods,Storage Box,4,848,11-09-2023,,,
T004,C456,regular,Home_Goods,Bedsheet,3,4163,01-08-2023,,,Z
T004,C456,regular,Home_Goods,Blanket,4,4270,15-11-2023,,,
T004,C456,regular,Home_Goods,Bath Towel,3,2819,08-09-2023,,,
T005,C382,regular,FMCG,Soap,10,337,22-04-2023,,,
T005,C382,regular,FMCG,Shampoo,5,283,06-04-2023,,,
T006,C151,regular,Electronics,Mobile Phone,1,8193,01-08-2023,,,
T006,C151,regular,Electronics,Charger,1,11661,08-12-2023,,,
T006,C151,regular,Electronics,Earphones,2,23158,03-09-2023,,,
T006,C151,regular,Fashion,T-shirt,2,4242,13-09-2023,,,
T006,C151,regular,Home_Goods,Bath Towel,2,767,23-06-2023,,,
T007,C097,regular,Grocery,Rice,8,430,15-04-2023,,,
T007,C097,regular,Grocery,Cooking Oil,3,171,03-02-2023,,,
T007,C097,regular,Grocery,Spices Pack,10,1797,03-07-2023,,,
T008,C468,regular,Beauty,Perfume,1,414,15-11-2023,,,
T008,C468,regular,Beauty,Body Lotion,1,1207,26-12-2023,,,
T009,C002,regular,Grocery,Breakfast Cereal,10,1451,23-05-2023,,,
T010,C342,regular,Grocery,Coffee,7,1015,17-05-2023,,,
T010,C342,regular,Grocery,Sugar,7,1927,24-08-2023,,,
T011,C380,regular,Beauty,Hair Serum,2,1025,24-03-2023,,,
T012,C358,regular,Grocery,Spices Pack,4,850,03-11-2023,,,
T012,C358,regular,Grocery,Tea,6,247,14-01-2023,,,
T013,C292,regular,Fashion,Shirt,3,4855,18-10-2023,,,
T013,C292,regular,Fashion,Trouser,1,2946,10-11-2023,,,
T014,C213,premium,Electronics,Laptop,1,8780,17-02-2023,,,
T014,C213,premium,Electronics,Mouse,1,14468,15-11-2023,,,
T015,C455,regular,Home_Goods,Cookware Set,1,4830,27-06-2023,,,
T015,C455,regular,Home_Goods,Dinner Set,2,6862,14-01-2023,,,
T016,C333,regular,Electronics,Mouse,1,2747,23-12-2023,,,
T017,C150,regular,FMCG,Shampoo,9,465,21-10-2023,,,
T017,C150,regular,FMCG,Biscuits,2,346,16-09-2023,,,
T017,C150,regular,FMCG,Toothpaste,8,383,11-05-2023,,,
T018,C015,regular,Beauty,Makeup Kit,2,1263,17-11-2023,,,
T018,C015,regular,Beauty,Lipstick,2,896,03-03-2023,,,
T018,C015,regular,Beauty,Compact Powder,2,458,13-03-2023,,,
T019,C391,premium,Electronics,Mobile Phone,1,16179,18-07-2023,,,
T019,C391,premium,Electronics,Charger,2,20442,08-07-2023,,,
T019,C391,premium,Electronics,Earphones,1,21484,26-11-2023,,,
T019,C391,premium,Grocery,Wheat Flour,4,160,20-03-2023,,,
T019,C391,premium,Fashion,T-shirt,1,4143,23-04-2023,,,
T020,C327,premium,Home_Goods,Bath Towel,2,2013,17-05-2023,,,
T020,C327,premium,Home_Goods,Blanket,1,2842,15-03-2023,,,
T021,C083,premium,FMCG,Soap,4,121,20-05-2023,,,
T021,C083,premium,FMCG,Shampoo,7,401,14-11-2023,,,
T022,C121,premium,Beauty,Compact Powder,4,1324,18-11-2023,,,
T022,C121,premium,Beauty,Perfume,4,1370,11-02-2023,,,
T023,C493,premium,Home_Goods,Bedsheet,3,4363,03-12-2023,,,
T023,C493,premium,Home_Goods,Pillow,1,5693,24-12-2023,,,
T023,C493,premium,Home_Goods,Blanket,2,4395,22-01-2023,,,
T023,C493,premium,Electronics,Camera,1,14630,20-11-2023,,,
T024,C252,regular,FMCG,Soap,2,493,19-01-2023,,,
T024,C252,regular,FMCG,Shampoo,8,271,25-03-2023,,,
T024,C252,regular,Fashion,Shoes,4,4283,19-06-2023,,,
T024,C252,regular,Fashion,Jacket,2,929,09-01-2023,,,
T025,C094,regular,Home_Goods,Storage Box,4,3771,01-01-2023,,,
T025,C094,regular,Home_Goods,Bath Towel,1,5067,28-10-2023,,,
T026,C295,regular,Fashion,T-shirt,1,360,04-09-2023,,,
T026,C295,regular,Fashion,Jeans,2,2294,09-05-2023,,,
T026,C295,regular,Fashion,Belt,3,1126,19-04-2023,,,
T027,C421,regular,FMCG,Soap,10,373,09-12-2023,,,
T027,C421,regular,FMCG,Shampoo,8,99,21-09-2023,,,
T027,C421,regular,Electronics,Earphones,1,17188,08-12-2023,,,
T028,C177,regular,FMCG,Toothbrush,5,444,20-10-2023,,,
T029,C091,regular,Electronics,Mobile Phone,2,10543,16-07-2023,,,
T029,C091,regular,Electronics,Charger,1,18627,06-12-2023,,,
T029,C091,regular,Electronics,Earphones,1,10381,02-05-2023,,,
T030,C219,premium,Electronics,Mobile Phone,1,14403,07-04-2023,,,
T030,C219,premium,Electronics,Charger,1,19417,22-04-2023,,,
T030,C219,premium,Electronics,Earphones,1,12336,08-11-2023,,,
T031,C120,regular,Electronics,Bluetooth Speaker,2,16958,22-01-2023,,,
T032,C087,regular,Fashion,Jacket,2,4529,07-04-2023,,,
T033,C196,regular,Grocery,Tea,5,473,26-02-2023,,,
T033,C196,regular,Grocery,Cooking Oil,2,525,03-07-2023,,,
T033,C196,regular,Grocery,Sugar,7,1551,10-02-2023,,,
T034,C182,regular,FMCG,Juice,3,93,09-09-2023,,,
T035,C360,regular,Grocery,Wheat Flour,5,1991,03-12-2023,,,
T035,C360,regular,Grocery,Spices Pack,2,876,09-03-2023,,,
